demand [dɪˈmænd] (v.) [anki:play:q:0]	требовать, нуждаться [anki:play:a:0]
describe [dɪˈskraɪb] (v.) [anki:play:q:0]	описывать, рассказывать [anki:play:a:0]
meter [ˈmiːtər] (n.) [anki:play:q:0]	измеритель, счетчик [anki:play:a:0]
that [ˈðæt] (conj.) [anki:play:q:0]	что, чтобы (служебное в предложении) [anki:play:a:0]
program [ˈproʊˌgræm] (n.) [anki:play:q:0]	программа [anki:play:a:0]
excellent [ˈekslənt] (adj.) [anki:play:q:0]	отличный, отменный [anki:play:a:0]
earn [ˈərn] (v.) [anki:play:q:0]	зарабатывать [anki:play:a:0]
blow [ˈbloʊ] (v.) [anki:play:q:0]	дуть, веять [anki:play:a:0]
OK [oʊˈkeɪ] (adj.) [anki:play:q:0]	все в порядке [anki:play:a:0]
experience [ɪkˈspɪriːəns] (n.) [anki:play:q:0]	опыт, стаж работы [anki:play:a:0]
sensible [ˈsensəbəl] (adj.) [anki:play:q:0]	благоразумный, здравый, чувствительный, восприимчивый [anki:play:a:0]
advanced [ədˈvænst] (adj.) [anki:play:q:0]	передовой, продвинутый [anki:play:a:0]
handle [ˈhændəl] (v.) [anki:play:q:0]	трогать, брать [anki:play:a:0]
neither [ˈniːðər] (adv.) [anki:play:q:0]	также не, тоже не [anki:play:a:0]
difference [ˈdɪfərns] (n.) [anki:play:q:0]	разница, отличие [anki:play:a:0]
chain [ˈtʃeɪn] (n.) [anki:play:q:0]	цепь, гряда [anki:play:a:0]
forest [ˈfɔrəst] (n.) [anki:play:q:0]	лес [anki:play:a:0]
sew [ˈsoʊ] (v.) [anki:play:q:0]	шить, пришивать [anki:play:a:0]
judge [ˈdʒədʒ] (n.) [anki:play:q:0]	судья [anki:play:a:0]
planet [ˈplænət] (n.) [anki:play:q:0]	планета [anki:play:a:0]
bush [ˈbʊʃ] (n.) [anki:play:q:0]	кустарник [anki:play:a:0]
sport [ˈspɔrt] (n.) [anki:play:q:0]	спорт [anki:play:a:0]
winner [ˈwɪnər] (n.) [anki:play:q:0]	победитель [anki:play:a:0]
pocket [ˈpɑkət] (n.) [anki:play:q:0]	карман [anki:play:a:0]
coat [ˈkoʊt] (n.) [anki:play:q:0]	пиджак, пальто [anki:play:a:0]
some [ˈsəm] (adj.) [anki:play:q:0]	какой-нибудь, какой-то, некоторый [anki:play:a:0]
brown [ˈbræʊn] (adj.) [anki:play:q:0]	коричневый, бурый [anki:play:a:0]
attack [əˈtæk] (n.) [anki:play:q:0]	аттака [anki:play:a:0]
music [ˈmjuːzɪk] (n.) [anki:play:q:0]	музыка [anki:play:a:0]
goods [ˈgʊdz] (n.) [anki:play:q:0]	товары, товар [anki:play:a:0]
complaint [kəmˈpleɪnt] (n.) [anki:play:q:0]	жалоба, протест [anki:play:a:0]
difficulty [difficulty] (n.) [anki:play:q:0]	трудность [anki:play:a:0]
neither [ˈniːðər] (adj.) [anki:play:q:0]	никакой ( ни тот, ни другой) [anki:play:a:0]
hate [ˈheɪt] (v.) [anki:play:q:0]	ненавидеть [anki:play:a:0]
evidence [ˈevədəns] (n.) [anki:play:q:0]	ясность, наглядность, доказательство [anki:play:a:0]
off [ˈɔf] (adv.) [anki:play:q:0]	указывает на отдаление [anki:play:a:0]
choose [ˈtʃuːz] (v.) [anki:play:q:0]	выбирать, избирать [anki:play:a:0]
public [ˈpəblɪk] (adj.) [anki:play:q:0]	общественный, публичный [anki:play:a:0]
spoon [ˈspuːn] (n.) [anki:play:q:0]	ложка [anki:play:a:0]
complete [kəmˈpliːt] (adj.) [anki:play:q:0]	полный, целый, законченный [anki:play:a:0]
character [ˈkerɪktər] (n.) [anki:play:q:0]	характер, нрав [anki:play:a:0]
number [ˈnəmbər] (n.) [anki:play:q:0]	число, цифра [anki:play:a:0]
further [ˈfərðər] (adj.) [anki:play:q:0]	дальнейший, добавочный [anki:play:a:0]
weak [ˈwiːk] (adj.) [anki:play:q:0]	слабый, бессильный [anki:play:a:0]
charge [ˈtʃɑrdʒ] (n.) [anki:play:q:0]	заряд [anki:play:a:0]
listen [ˈlɪsən] (v.) [anki:play:q:0]	слушать, выслушивать [anki:play:a:0]
well [ˈwel] (adj.) [anki:play:q:0]	здоровый, выздоровевший [anki:play:a:0]
sock [ˈsɑk] (n.) [anki:play:q:0]	носок, стелька [anki:play:a:0]
like [ˈlaɪk] (v.) [anki:play:q:0]	любить, нравится [anki:play:a:0]
bend [ˈbend] (v.) [anki:play:q:0]	сгибать, гнуть [anki:play:a:0]
admire [ədˈmaɪr] (v.) [anki:play:q:0]	любоваться, восторгаться [anki:play:a:0]
messy [ˈmesiː] (adj.) [anki:play:q:0]	неряшливый, неаккуратный [anki:play:a:0]
ago [əˈgoʊ] (adv.) [anki:play:q:0]	тому назад [anki:play:a:0]
out [ˈæʊt] (adv.) [anki:play:q:0]	вне, снаружи [anki:play:a:0]
worse [ˈwərs] (adv.) [anki:play:q:0]	хуже [anki:play:a:0]
muscle [ˈməsəl] (n.) [anki:play:q:0]	мускул, мышца [anki:play:a:0]
perform [pəˈfɔrm] (v.) [anki:play:q:0]	исполнять, выполнять [anki:play:a:0]
upstairs [ˌəpˈsterz] (adv.) [anki:play:q:0]	вверх (по лестнице), наверх [anki:play:a:0]
box [ˈbɑks] (n.) [anki:play:q:0]	коробка, ящик [anki:play:a:0]
today [təˈdeɪ] (adv.) [anki:play:q:0]	сегодня [anki:play:a:0]
player [ˈpleɪər] (n.) [anki:play:q:0]	игрок, участник [anki:play:a:0]
power [ˈpæʊr] (n.) [anki:play:q:0]	сила, мощь [anki:play:a:0]
embarrassed [ɪmˈberəst] (adj.) [anki:play:q:0]	затрудненный, стесненный [anki:play:a:0]
top [ˈtɑp] (adj.) [anki:play:q:0]	верхний [anki:play:a:0]
boyfriend [ˈbɔɪˌfrend] (n.) [anki:play:q:0]	возлюбленный, сожитель [anki:play:a:0]
down [ˈdæʊn] (prep.) [anki:play:q:0]	по, вдоль по, в центр, сверху в низ [anki:play:a:0]
illness [ˈɪlnəs] (n.) [anki:play:q:0]	нездоровье, болезнь [anki:play:a:0]
disagreement [ˌdɪsəˈgriːmənt] (n.) [anki:play:q:0]	ссора, разлад [anki:play:a:0]
flight [ˈflaɪt] (n.) [anki:play:q:0]	полет, расстояние в полете [anki:play:a:0]
before [bɪˈfɔr] (adv.) [anki:play:q:0]	впереди, вперед, прежде [anki:play:a:0]
base [ˈbeɪs] (v.) [anki:play:q:0]	базировать [anki:play:a:0]
fasten [ˈfæsən] (v.) [anki:play:q:0]	прикреплять, застегивать [anki:play:a:0]
eastern [ˈiːstərn] (adj.) [anki:play:q:0]	восточный [anki:play:a:0]
pollution [pəˈluːʃən] (n.) [anki:play:q:0]	загрязнение [anki:play:a:0]
work [ˈwərk] (v.) [anki:play:q:0]	работать, заниматься [anki:play:a:0]
contain [kənˈteɪn] (v.) [anki:play:q:0]	содержать в себе, включать, вмещать [anki:play:a:0]
worst [ˈwərst] (adv.) [anki:play:q:0]	хуже всего [anki:play:a:0]
itself [ɪtˈself] (pron.) [anki:play:q:0]	себя, себе, сам, сама [anki:play:a:0]
concert [ˈkɑnsərt] (n.) [anki:play:q:0]	концерт [anki:play:a:0]
announce [əˈnæʊns] (v.) [anki:play:q:0]	объявлять, сообщать [anki:play:a:0]
writing [ˈraɪtɪŋ] (n.) [anki:play:q:0]	писание, печатание, набор [anki:play:a:0]
smooth [ˈsmuːð] (adj.) [anki:play:q:0]	гладкий, ровный, скользкий [anki:play:a:0]
bed [ˈbed] (n.) [anki:play:q:0]	кровать, постель [anki:play:a:0]
garbage [ˈgɑrbɪdʒ] (n.) [anki:play:q:0]	отбросы, барахло [anki:play:a:0]
building [ˈbɪldɪŋ] (n.) [anki:play:q:0]	здание, строение [anki:play:a:0]
depend [dɪˈpend] (v.) [anki:play:q:0]	зависеть [anki:play:a:0]
slice [ˈslaɪs] (n.) [anki:play:q:0]	ломтик, ломоть [anki:play:a:0]
distant [ˈdɪstənt] (adj.) [anki:play:q:0]	дальний, далекий [anki:play:a:0]
else [ˈels] (adv.) [anki:play:q:0]	еще, кроме, иначе [anki:play:a:0]
yesterday [ˈjestərdeɪ] (adv.) [anki:play:q:0]	вчера [anki:play:a:0]
below [bɪˈloʊ] (prep.) [anki:play:q:0]	ниже, под, хуже [anki:play:a:0]
rule [ˈruːl] (v.) [anki:play:q:0]	править, управлять ( особенно о монархах) [anki:play:a:0]
from [ˈfrəm] (prep.) [anki:play:q:0]	от, из, с [anki:play:a:0]
or [ˈɔr] (conj.) [anki:play:q:0]	или, иначе [anki:play:a:0]
convince [kənˈvɪns] (v.) [anki:play:q:0]	убеждать, уверять [anki:play:a:0]
no [ˈnoʊ] (exclamation) [anki:play:q:0]	нет [anki:play:a:0]
newspaper [ˈnuːzˌpeɪpər] (n.) [anki:play:q:0]	газета [anki:play:a:0]
decide [dɪˈsaɪd] (v.) [anki:play:q:0]	решать, принимать [anki:play:a:0]
west [ˈwest] (n.) [anki:play:q:0]	запад [anki:play:a:0]
future [ˈfjuːtʃər] (n.) [anki:play:q:0]	будущее [anki:play:a:0]
impress [ɪmˈpres] (v.) [anki:play:q:0]	производить впечатление [anki:play:a:0]
appear [əˈpɪr] (v.) [anki:play:q:0]	показываться, появляться, начинать существование [anki:play:a:0]
development [dɪˈveləpmənt] (n.) [anki:play:q:0]	развитие, расширение, эволюция [anki:play:a:0]
new [ˈnuː] (adj.) [anki:play:q:0]	новый [anki:play:a:0]
provide [prəˈvaɪd] (v.) [anki:play:q:0]	снабжать, обеспечивать, предоставлять [anki:play:a:0]
invitation [ˌɪnvəˈteɪʃən] (n.) [anki:play:q:0]	приглашение [anki:play:a:0]
romantic [roʊˈmæntɪk] (adj.) [anki:play:q:0]	романтичный [anki:play:a:0]
actress [ˈæktrəs] (n.) [anki:play:q:0]	актриса [anki:play:a:0]
pain [ˈpeɪn] (n.) [anki:play:q:0]	боль, горе [anki:play:a:0]
late [ˈleɪt] (adj.) [anki:play:q:0]	поздний, в конце [anki:play:a:0]
double [ˈdəbəl] (adj.) [anki:play:q:0]	двойной [anki:play:a:0]
fall [ˈfɔl] (v.) [anki:play:q:0]	падать, упасть [anki:play:a:0]
contrast [kənˈtræst] (n.) [anki:play:q:0]	контраст, полярность [anki:play:a:0]
upset [əpˈset] (v.) [anki:play:q:0]	опрокидывать, расстраивать [anki:play:a:0]
very [ˈveriː] (adv.) [anki:play:q:0]	весьма, очень, сильно [anki:play:a:0]
reporter [rɪˈpɔrtər] (n.) [anki:play:q:0]	докладчик, репортер [anki:play:a:0]
ahead [əˈhed] (adv.) [anki:play:q:0]	вперед, впереди [anki:play:a:0]
boil [ˈbɔɪl] (v.) [anki:play:q:0]	кипеть, варить [anki:play:a:0]
danger [ˈdeɪndʒər] (n.) [anki:play:q:0]	опасность, угроза [anki:play:a:0]
beautiful [ˈbjuːtɪfəl] (adj.) [anki:play:q:0]	красивый, превосходный [anki:play:a:0]
mean [ˈmiːn] (v.) [anki:play:q:0]	намереваться, иметь ввиду [anki:play:a:0]
error [ˈerər] (n.) [anki:play:q:0]	заблуждение, ошибка [anki:play:a:0]
important [ɪmˈpɔrtənt] (adj.) [anki:play:q:0]	важный, влиятельный [anki:play:a:0]
dog [ˈdɔg] (n.) [anki:play:q:0]	собака, пёс [anki:play:a:0]
salt [ˈsɔlt] (n.) [anki:play:q:0]	соль [anki:play:a:0]
enter [ˈentər] (v.) [anki:play:q:0]	входить, проникать [anki:play:a:0]
century [ˈsenʃriː] (n.) [anki:play:q:0]	век, столетие [anki:play:a:0]
cake [ˈkeɪk] (n.) [anki:play:q:0]	кекс, торт [anki:play:a:0]
prove [ˈpruːv] (v.) [anki:play:q:0]	доказывать, удостоверять [anki:play:a:0]
store [ˈstɔr] (v.) [anki:play:q:0]	снабжать, оснащать [anki:play:a:0]
clock [ˈklɑk] (n.) [anki:play:q:0]	часы (настенные, башенные и тд.) [anki:play:a:0]
scientist [ˈsaɪəntɪst] (n.) [anki:play:q:0]	ученый [anki:play:a:0]
last [ˈlæst] (n.) [anki:play:q:0]	последний, последнее [anki:play:a:0]
energy [ˈenərdʒiː] (n.) [anki:play:q:0]	энергия [anki:play:a:0]
waste [ˈweɪst] (adj.) [anki:play:q:0]	ненужный, бесполезный [anki:play:a:0]
street [ˈstriːt] (n.) [anki:play:q:0]	улица [anki:play:a:0]
football [ˈfʊtˌbɔl] (n.) [anki:play:q:0]	футбол [anki:play:a:0]
quickly [quickly] (adv.) [anki:play:q:0]	быстро, скоро [anki:play:a:0]
reply [rɪˈplaɪ] (n.) [anki:play:q:0]	ответ, отклик, реплика [anki:play:a:0]
those [those] (pron.) [anki:play:q:0]	эти, этих [anki:play:a:0]
healthy [ˈhelθiː] (adj.) [anki:play:q:0]	здоровый [anki:play:a:0]
speed [ˈspiːd] (n.) [anki:play:q:0]	скорость [anki:play:a:0]
mirror [ˈmɪrər] (n.) [anki:play:q:0]	зеркало, отражение [anki:play:a:0]
election [ɪˈlekʃən] (n.) [anki:play:q:0]	выборы, избрание [anki:play:a:0]
southern [ˈsəðərn] (adj.) [anki:play:q:0]	южанин [anki:play:a:0]
joke [ˈdʒoʊk] (v.) [anki:play:q:0]	шутить, дразнить [anki:play:a:0]
every [ˈevriː] (adj.) [anki:play:q:0]	каждый, любой [anki:play:a:0]
world [ˈwərld] (n.) [anki:play:q:0]	мир, свет, вселенная [anki:play:a:0]
underground [ˌəndərˈgræʊnd] (adj.) [anki:play:q:0]	подземный [anki:play:a:0]
try [ˈtraɪ] (v.) [anki:play:q:0]	пытаться, стараться [anki:play:a:0]
bill [ˈbɪl] (n.) [anki:play:q:0]	список, счет [anki:play:a:0]
branch [ˈbræntʃ] (n.) [anki:play:q:0]	ветвь, подразделение [anki:play:a:0]
dead [ˈded] (adj.) [anki:play:q:0]	мертвый, дохлый [anki:play:a:0]
dad [ˈdæd] (n.) [anki:play:q:0]	папа, отец [anki:play:a:0]
math [ˈmæθ] (n.) [anki:play:q:0]	математика [anki:play:a:0]
shock [ˈʃɑk] (n.) [anki:play:q:0]	удар, толчок, сотрясение [anki:play:a:0]
leave [ˈliːv] (v.) [anki:play:q:0]	покидать, уезжать [anki:play:a:0]
gentle [ˈdʒentəl] (adj.) [anki:play:q:0]	знатный, родовитый [anki:play:a:0]
date [ˈdeɪt] (n.) [anki:play:q:0]	дата, число, день [anki:play:a:0]
festival [ˈfestəvəl] (n.) [anki:play:q:0]	фестиваль, праздник [anki:play:a:0]
season [ˈsiːzən] (n.) [anki:play:q:0]	время года [anki:play:a:0]
hate [ˈheɪt] (n.) [anki:play:q:0]	ненависть [anki:play:a:0]
carelessly [carelessly] (adv.) [anki:play:q:0]	небрежно, халатно [anki:play:a:0]
post [ˈpoʊst] (n.) [anki:play:q:0]	мачта, свая, столб [anki:play:a:0]
law [ˈlɔ] (n.) [anki:play:q:0]	закон [anki:play:a:0]
quite [ˈkwaɪt] (adv.) [anki:play:q:0]	вполне, полностью, всецело [anki:play:a:0]
return [rɪˈtərn] (v.) [anki:play:q:0]	возвращать, отдавать, идти обратно [anki:play:a:0]
downward [ˈdæʊnwərd] (adv.) [anki:play:q:0]	вниз, книзу, ниже, по нисходящей линии [anki:play:a:0]
tight [ˈtaɪt] (adj.) [anki:play:q:0]	тугой, тесный [anki:play:a:0]
industry [ˈɪndəstriː] (n.) [anki:play:q:0]	производство, индустрия [anki:play:a:0]
nobody [ˈnoʊbədiː] (pron.) [anki:play:q:0]	никто [anki:play:a:0]
worse [ˈwərs] (adj.) [anki:play:q:0]	худший [anki:play:a:0]
experiment [ɪkˈsperəmənt] (n.) [anki:play:q:0]	опыт, проба, эксперимент [anki:play:a:0]
cent [ˈsent] (n.) [anki:play:q:0]	цент [anki:play:a:0]
entertainment [ˌentərˈteɪnmənt] (n.) [anki:play:q:0]	развлечение, зрелище, гостеприимство [anki:play:a:0]
boat [ˈboʊt] (n.) [anki:play:q:0]	лодка, шлюпка [anki:play:a:0]
dancer [dancer] (n.) [anki:play:q:0]	танцор [anki:play:a:0]
combine [kəmˈbaɪn] (v.) [anki:play:q:0]	объединять, сочетать, комбинировать [anki:play:a:0]
dry [ˈdraɪ] (v.) [anki:play:q:0]	сушить [anki:play:a:0]
explanation [ˌekspləˈneɪʃən] (n.) [anki:play:q:0]	пояснения [anki:play:a:0]
emergency [ɪˈmərdʒəntsiː] (n.) [anki:play:q:0]	непредвиденный случай, авария [anki:play:a:0]
alarm [əˈlɑrm] (n.) [anki:play:q:0]	тревога, смятение [anki:play:a:0]
human [ˈhjuːmən] (adj.) [anki:play:q:0]	людской, человеческий [anki:play:a:0]
wash [ˈwɔʃ] (v.) [anki:play:q:0]	мыть, отмывать [anki:play:a:0]
restaurant [ˈrestrɑnt] (n.) [anki:play:q:0]	ресторан [anki:play:a:0]
lose [ˈluːz] (v.) [anki:play:q:0]	освобождать, развязывать [anki:play:a:0]
tooth [ˈtuːθ] (n.) [anki:play:q:0]	зуб, зубец [anki:play:a:0]
informal [ɪnˈfɔrməl] (adj.) [anki:play:q:0]	неофициальный [anki:play:a:0]
characteristic [ˌkerɪktəˈrɪstɪk] (n.) [anki:play:q:0]	характеристика [anki:play:a:0]
achieve [əˈtʃiːv] (v.) [anki:play:q:0]	добиваться, достигать [anki:play:a:0]
pretend [prɪˈtend] (v.) [anki:play:q:0]	притворяться, симулировать [anki:play:a:0]
fresh [ˈfreʃ] (adj.) [anki:play:q:0]	свежий [anki:play:a:0]
task [ˈtæsk] (n.) [anki:play:q:0]	урочная работа, задача, урок [anki:play:a:0]
appreciate [əˈpriːʃiːˌeɪt] (v.) [anki:play:q:0]	оценивать, понимать [anki:play:a:0]
beginning [bɪˈgɪnɪŋ] (n.) [anki:play:q:0]	начало [anki:play:a:0]
tourist [ˈtʊrɪst] (n.) [anki:play:q:0]	турист [anki:play:a:0]
ready [ˈrediː] (adj.) [anki:play:q:0]	готовый, подготовленный [anki:play:a:0]
struggle [ˈstrəgəl] (n.) [anki:play:q:0]	борьба [anki:play:a:0]
marry [ˈmeriː] (v.) [anki:play:q:0]	жениться [anki:play:a:0]
authority [əˈθɑrətiː] (n.) [anki:play:q:0]	власть [anki:play:a:0]
action [ˈækʃən] (n.) [anki:play:q:0]	действие, поступок, акция [anki:play:a:0]
slightly [slightly] (adv.) [anki:play:q:0]	мало, еле-еле [anki:play:a:0]
wheel [ˈwiːl] (n.) [anki:play:q:0]	колесо, колесико [anki:play:a:0]
inform [ɪnˈfɔrm] (v.) [anki:play:q:0]	сообщать, уведомлять, информировать [anki:play:a:0]
section [ˈsekʃən] (n.) [anki:play:q:0]	секция, деталь [anki:play:a:0]
